origin_code,origin_name_ja,destination_code,destination_name_ja,commodity_code,commodity_ja,weight_origin_to_destination_tons_per_day,weight_destination_to_origin_tons_per_day,trucks_origin_to_destination_per_day,trucks_destination_to_origin_per_day,commodity_en,tokyo_direction,tokyo_counterpart_region_code,tokyo_counterpart_region_name_ja,tokyo_outbound_weight_tons_per_day,tokyo_inbound_weight_tons_per_day,tokyo_outbound_trucks_per_day,tokyo_inbound_trucks_per_day
13,東京都,6,山形県,2,出版・印刷物,47.55434741,0.141441299,5.5,0.0,,Tokyo outbound,6,山形県,47.55434741,0.141441299,5.5,0.0
13,東京都,7,福島県,2,出版・印刷物,0.728435628,278.7956224,12.46,12.46,,Tokyo outbound,7,福島県,0.728435628,278.7956224,12.46,12.46
13,東京都,8,茨城県,2,出版・印刷物,18.51934367,608.6501848,12.0,88.84911381,,Tokyo outbound,8,茨城県,18.51934367,608.6501848,12.0,88.84911381
13,東京都,9,栃木県,2,出版・印刷物,14.24489966,9.716255639,6.894422311,0.0,,Tokyo outbound,9,栃木県,14.24489966,9.716255639,6.894422311,0.0
13,東京都,10,群馬県,2,出版・印刷物,38.69843502,0.015652174,6.23,6.23,,Tokyo outbound,10,群馬県,38.69843502,0.015652174,6.23,6.23
13,東京都,11,埼玉県,2,出版・印刷物,4328.548975,4113.94915,625.2085445,2161.852863,,Tokyo outbound,11,埼玉県,4328.548975,4113.94915,625.2085445,2161.852863
13,東京都,12,千葉県,2,出版・印刷物,318.6327226,248.3741414,388.4097522,347.004606,,Tokyo outbound,12,千葉県,318.6327226,248.3741414,388.4097522,347.004606
13,東京都,13,東京都,2,出版・印刷物,5553.128588,5553.128588,2323.951873,2323.951873,,Tokyo outbound,13,東京都,5553.128588,5553.128588,2323.951873,2323.951873
13,東京都,14,神奈川県,2,出版・印刷物,235.0723334,577.9687942,93.66314752,257.6164409,,Tokyo outbound,14,神奈川県,235.0723334,577.9687942,93.66314752,257.6164409
13,東京都,15,新潟県,2,出版・印刷物,109.3532381,0.64,11.0,0.0,,Tokyo outbound,15,新潟県,109.3532381,0.64,11.0,0.0
13,東京都,16,富山県,2,出版・印刷物,0.0,18.66666667,0.0,0.0,,Tokyo outbound,16,富山県,0.0,18.66666667,0.0,0.0
13,東京都,17,石川県,2,出版・印刷物,0.093073527,0.006894422,0.0,0.0,,Tokyo outbound,17,石川県,0.093073527,0.006894422,0.0,0.0
13,東京都,18,福井県,2,出版・印刷物,0.09216715,0.09216715,0.0,0.0,,Tokyo outbound,18,福井県,0.09216715,0.09216715,0.0,0.0
