base_route_proxy_id,customer_count,vehicle_count,seed,route_proxy_distance_km
C025_V05_S010_R05,25,5,10,64.87517942006065
C025_V01_S011_R01,25,1,11,257.67871635457374
C025_V03_S011_R01,25,3,11,67.75887923844789
C025_V03_S011_R02,25,3,11,107.09366909572456
C025_V03_S011_R03,25,3,11,118.34022035453742
C025_V05_S011_R01,25,5,11,38.13874520351072
C025_V05_S011_R02,25,5,11,61.456270441530805
C025_V05_S011_R03,25,5,11,107.09366909572456
C025_V05_S011_R04,25,5,11,54.86137631398995
C025_V05_S011_R05,25,5,11,50.57130354386011
C025_V01_S012_R01,25,1,12,256.2853962063334
C025_V03_S012_R01,25,3,12,88.06707158036315
C025_V03_S012_R02,25,3,12,111.17247162712552
C025_V03_S012_R03,25,3,12,68.21665660510314
C025_V05_S012_R01,25,5,12,46.50877880392321
C025_V05_S012_R02,25,5,12,73.06587524929601
C025_V05_S012_R03,25,5,12,49.0508083385062
C025_V05_S012_R04,25,5,12,53.39084439437859
C025_V05_S012_R05,25,5,12,88.06707158036315
C025_V01_S013_R01,25,1,13,238.92752428198455
C025_V03_S013_R01,25,3,13,88.8425260633346
C025_V03_S013_R02,25,3,13,114.86315926665938
C025_V03_S013_R03,25,3,13,76.87465166402197
C025_V05_S013_R01,25,5,13,65.16876022273829
C025_V05_S013_R02,25,5,13,84.52997868416023
C025_V05_S013_R03,25,5,13,74.40487195426334
C025_V05_S013_R04,25,5,13,94.46960012920208
C025_V05_S013_R05,25,5,13,46.60722280017721
C025_V01_S014_R01,25,1,14,274.82889504109335
C025_V03_S014_R01,25,3,14,96.67727876632225
C025_V03_S014_R02,25,3,14,87.32376282618117
C025_V03_S014_R03,25,3,14,95.74289172806223
C025_V05_S014_R01,25,5,14,49.17392875627674
C025_V05_S014_R02,25,5,14,95.74289172806223
C025_V05_S014_R03,25,5,14,51.86281396330994
C025_V05_S014_R04,25,5,14,57.94031990506013
C025_V05_S014_R05,25,5,14,63.56882512918483
C025_V01_S015_R01,25,1,15,237.85239783992347
C025_V03_S015_R01,25,3,15,98.54229300639386
C025_V03_S015_R02,25,3,15,108.73240989514342
C025_V03_S015_R03,25,3,15,62.8949859261564
C025_V05_S015_R01,25,5,15,51.3439459543773
C025_V05_S015_R02,25,5,15,69.28587151265725
C025_V05_S015_R03,25,5,15,64.44176350139529
C025_V05_S015_R04,25,5,15,79.83818044132177
C025_V05_S015_R05,25,5,15,55.06902346525868
C025_V01_S016_R01,25,1,16,228.8921163506779
C025_V03_S016_R01,25,3,16,105.70848663210651
C025_V03_S016_R02,25,3,16,106.63002862453598
C025_V03_S016_R03,25,3,16,46.31650749482387
C025_V05_S016_R01,25,5,16,45.95544788840652
C025_V05_S016_R02,25,5,16,46.31650749482387
C025_V05_S016_R03,25,5,16,63.45060859321791
C025_V05_S016_R04,25,5,16,59.88634695497869
C025_V05_S016_R05,25,5,16,71.98154821995078
C025_V01_S017_R01,25,1,17,304.34230272427726
C025_V03_S017_R01,25,3,17,91.74565919619022
C025_V03_S017_R02,25,3,17,129.1549633394222
C025_V03_S017_R03,25,3,17,97.7305749467588
C025_V05_S017_R01,25,5,17,76.65939730412461
C025_V05_S017_R02,25,5,17,53.990766008811775
C025_V05_S017_R03,25,5,17,91.74565919619022
C025_V05_S017_R04,25,5,17,91.73871396331684
C025_V05_S017_R05,25,5,17,59.565774818433695
C025_V01_S018_R01,25,1,18,268.0179667751731
C025_V03_S018_R01,25,3,18,92.42925278740536
C025_V03_S018_R02,25,3,18,99.47216796193888
C025_V03_S018_R03,25,3,18,99.81745979416864
C025_V05_S018_R01,25,5,18,99.47216796193888
C025_V05_S018_R02,25,5,18,59.853653321144336
C025_V05_S018_R03,25,5,18,37.59135763410197
C025_V05_S018_R04,25,5,18,54.2047209065926
C025_V05_S018_R05,25,5,18,81.86346010245916
C025_V01_S019_R01,25,1,19,233.9829256047069
C025_V03_S019_R01,25,3,19,120.145918823709
C025_V03_S019_R02,25,3,19,107.16067350395411
C025_V03_S019_R03,25,3,19,37.53641389226833
C025_V05_S019_R01,25,5,19,37.53641389226833
